S Dos Santos(2010),S Wang & Li(2014),S Ahmadian (2021)
461.96,461.96,461.96
448.32,448.32,448.32
689.11,689.11,689.11
770.49,764.03,763.24
1276.23,1277.44,1276.23
1885.25,1871.23,1866.92
224.84,224.84,224.84
323.43,319.37,319.37
1733.38,1738.05,1719.63
968.89,967.73,967.73
366.77,365.81,364.39
249.85,252.99,249.85
179.46,179.46,179.46
145.37,145.37,145.37
380.82,380,379.19
627.45,628.68,627.45
717.85,746.03,668.14
780.82,785.79,777.85
416.44,416.44,416.44
137.94',137.94,137.94
175.08,175.08,175.08
525.88,499.93,485.06
383.84,380.26,374.2
144.94,144.94,144.94
3344.54,3344.54,3344.54
1479.76,1479.76,1479.76
1369.06,1345.21,1342.3
2630.06,2709.13,2641.28
7380.76,8120.43,6820.87
4893.44,4966.34,4760.48
1041.33,1041.33,1041.33
497.97,514.72,512.54
3220.16,3321.54,3272.46
3357.53,3310.27,3260.81
1008.28,977.43,906.49
1720.18,1584.44,1487.33
790.5,790.66,790.5
905.37,905.37,905.37
1371.37,1476.65,1359.18
691.1,725.72,681.27
800.87,832.08,767.26
1310.04,1452.9,1224.82
654.84,654.84,654.84
279.71,297.54,285.16
1320.93,1315.47,1281
239.47,335.55,328.26
297.19,296.6,277
713.97,664.13,601.24
1937.49,1939.11,1936.45
941.69,959.65,943.7
2866.94,2935.95,2865.95
6741.16,6964.32,6613.62
10607.2,11073.1,10378.8
7310.32,7317.74,6839.3
2548.95,2551.22,2548.95
3069.13,3070.16,3069.13
7545.44,7758.02,7524.13
7252.81,7302.01,7059.38
5260.48,5476.47,4651.31
1987.65,1718.08,1597.89
1671.87,1682.94,1674.6
1448.66,1459.57,1451.61
3672.18,3669.09,3620.61
1858.19,1976.11,1792.78
3853.81,5536.64,4445.59
3358.61,3245.9,3085.54
1206.97,1205.59,1206.4
769.35,790.12,769.35
2938.24,3517.2,2931.11
3722.61,3684.67,3627.51
5093.89,5478.21,4817.32
1570.64,1599.55,1401.28